"","name","liaison","ownership_structure","capacity","independent_booking","events_per_month","years_operating","funding_source","interdisciplinarity","event_promotion","purpose","community_focus","creativity","experimentation","threats_neighbors","threats_cost","threats_licensing","description","contact_name","contact_email","contact_telephone","address","street","genre","venueType_club","venueType_disco","venueType_openAir","venueType_concertHall","venueType_theater","venueType_cinema","venueType_musicBar","venueType_gallery","venueType_restaurant","venueType_warehouse","venueType_arena","venueType_shop","venueType_studio","address_admin","APN","url","zip","county","city","y","x"
"76","General Jackson Showboat","","2. No","1,000","2. Sometimes","4. 20+ Events per month","4. 20+ Years","","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Showboat known for its in-house musicians and for events like Jazz on the Cumberland.","Cindy Johnson","cindy.johnson@gaylordhotels.com","(615) 458-3900","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"577 OPRY MILLS DR","07300003900","https://generaljackson.com/",37214,"Davidson","Nashville",36.2030059404284,-86.6950691196696
"77","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10507037500","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1369008628416,-86.7639958834078
"78","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10507037500","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1390835963383,-86.7635220140334
"79","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10507037500","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1294742459128,-86.7638615815108
"80","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10507037500","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1320765191706,-86.7654511080406
"81","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10507051900","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1369008628416,-86.7639958834078
"82","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10507051900","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1390835963383,-86.7635220140334
"83","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10507051900","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1294742459128,-86.7638615815108
"84","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10507051900","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1320765191706,-86.7654511080406
"85","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10511033100","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1369008628416,-86.7639958834078
"86","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10511033100","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1390835963383,-86.7635220140334
"87","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10511033100","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1294742459128,-86.7638615815108
"88","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10511033100","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1320765191706,-86.7654511080406
"89","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10511033000","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1369008628416,-86.7639958834078
"90","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10511033000","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1390835963383,-86.7635220140334
"91","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10511033000","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1294742459128,-86.7638615815108
"92","GEODIS Park","Eric Holt","2. No","","1. Always","1. 1-4 Events per month","1. 0-3 Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"Built in the heart of Nashville's Wedgewood-Houston neighborhood, GEODIS Park is one of the premier sports and entertainment destinations in the United States.","","info@nashvillesc.com","(615) 457-8200","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"0 RAINS AVE","10511033000","https://www.nashvillesc.com/stadium/",37203,"Davidson","Nashville",36.1320765191706,-86.7654511080406
"93","Glen Campbell Museum and Rhinestone Stage","Marcus Dowling","3. Information unavailable","Null","2. Sometimes","1. 1-4 Events per month","1. 0-3 Years","","2. Not too likely","2. Not too likely","2. Not too likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"The Glenn Campbell Museum and Rhinestone stage on historic Broadway and 2nd avenue. A home for music, history, and culture alike.","","info@glencampbellmuseum.com","(615) 258-5576","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"111 BROADWAY","09306210000","https://www.glencampbellmuseum.com/",37201,"Davidson","Nashville",36.1617099337122,-86.7747257028291
"94","Grand Hyatt Nashville ","Adrianna Flax","2. No","","4. Information unavailable","","4. 20+ Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"","","sales.grandhyattnashville@hyatt.com","(615) 622-1234","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Grand Ole Opry","Marcus Dowling","2. No","2,362","1. Always","4. 20+ Events per month","4. 20+ Years","4. Mixed/all of the above","2. Not too likely","4. Very Likely","4. Very Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Historic roots, center of Nashville's music scene and country music itself.","","","(615) 871-6779","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2804 OPRYLAND DR","07300003700","http://www.opry.com/",37214,"Davidson","Nashville",36.2065821817348,-86.6918672071492
"96","Grimey's New & Preloved Music","Eric Holt","1. Yes","120","3. Never","2. 5-10 Events per month","3. 11-20 Years","","3. Somewhat likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"2. Not too likely",0,1,0,"Nashville's premier independent record store specializing in vintage, pressed recordings, CDs & cassette tapes featuring free instore music performances","","funky@grimeys.com","(615) 226-3811","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1060 E TRINITY LN","07206022000","https://www.grimeys.com/",37216,"Davidson","Nashville",36.2033682490864,-86.7411023901006
"97","Hard Rock Cafe","","2. No","552","2. Sometimes","2. 5-10 Events per month","4. 20+ Years","","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Classic hard rock experience with open air terrace and live concert venue.","","nashville@hardrock.com","(615) 742-9900","","","Rock",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"108 2ND AVE N","09306208600","https://www.hardrockcafe.com/location/nashville/#utm_source=Google&utm_medium=Yext&utm_campaign=Listings",37201,"Davidson","Nashville",36.1623050083223,-86.7749104439042
"98","Headquarters Beercade","","2. No","","4. Information unavailable","","2. 3-10 Years","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Headquarters Beercade is a bar and arcade located in Nashville, Tennessee, that offers a unique blend of craft beer and classic arcade games.","","lauren@machinehospitality.com","(615) 942-7436","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"114 2ND AVE S","09306405800","https://www.hq-nashville.com/",37201,"Davidson","Nashville",36.1614224141439,-86.774556137916
"99","Helen's Hot Chicken","Eric Holt","2. No","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Hot chicken restaurant.","Jeremy Mallard","","(615) 964-7331","1801 Jefferson St #101, Nashville, TN 37208","Jefferson St #101","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1801 JEFFERSON ST","09203023800","https://www.helenshotchicken.com/#",37208,"Davidson","Nashville",36.1690725027122,-86.8072143887363
"100","Hifi Clyde's Nashville","","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"HiFi Clyde's is a bar and restaurant located in Nashville, Tennessee. It is known for its live music, casual atmosphere, and Southern-style cuisine","Tenley Mayfield Brown","tenley@hificlydesnashville.com","(615) 432-2928","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1700 CHURCH ST","09212030500","https://www.hificlydesnashville.com/",37202,"Davidson","Nashville",36.1559785004788,-86.7963394115904
"101","HOME (Helping Our Music Evolve)","Eric Holt","1. Yes","","4. Information unavailable","","2. 3-10 Years","","2. Not too likely","3. Somewhat likely","4. Very Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"","Logan Crowell","logan@homeformusic.org","(615) 543-8863","615 Main St, Suite G1","Main St, Suite G1","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"615 MAIN ST","08216000400","https://homeformusic.org/",37206,"Davidson","Nashville",36.1745081537032,-86.7619033936827
"102","HOME (Helping Our Music Evolve)","Eric Holt","1. Yes","","4. Information unavailable","","2. 3-10 Years","","2. Not too likely","3. Somewhat likely","4. Very Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"","Logan Crowell","logan@homeformusic.org","(615) 543-8863","615 Main St, Suite G1","Main St, Suite G1","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"615 MAIN ST","08216000400","https://homeformusic.org/",37206,"Davidson","Nashville",36.2261601219178,-86.6294240566079
"103","HOME (Helping Our Music Evolve)","Eric Holt","1. Yes","","4. Information unavailable","","2. 3-10 Years","","2. Not too likely","3. Somewhat likely","4. Very Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"","Logan Crowell","logan@homeformusic.org","(615) 543-8863","615 Main St, Suite G1","Main St, Suite G1","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"615 MAIN ST","06405003400","https://homeformusic.org/",37206,"Davidson","Nashville",36.1745081537032,-86.7619033936827
"104","HOME (Helping Our Music Evolve)","Eric Holt","1. Yes","","4. Information unavailable","","2. 3-10 Years","","2. Not too likely","3. Somewhat likely","4. Very Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"","Logan Crowell","logan@homeformusic.org","(615) 543-8863","615 Main St, Suite G1","Main St, Suite G1","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"615 MAIN ST","06405003400","https://homeformusic.org/",37206,"Davidson","Nashville",36.2261601219178,-86.6294240566079
"105","Homegrown Taproom Kitchen","Adrianna Flax","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Homegrown Taproom and Kitchen in Nashville, TN is an eclectic gastro pub that has been featured on the tv show Diners, Drive-ins and Dives.","","jennifer@homegrownnashville.com","(629) 888-9180","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2720 OLD LEBANON PIKE","09601016300","https://homegrownnashville.com/",37214,"Davidson","Nashville",36.170010080196,-86.6657697775985
"106","Honky Tonk Central","Marcus Dowling","3. Information unavailable","Null","2. Sometimes","4. 20+ Events per month","3. 11-20 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Bustling 3-story gathering place featuring pub eats & live country music all day long.","Laura Sumpter","lsumpter@honkytonkcentral.com","(615) 742-9095","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"329 BROADWAY","09306401500","http://www.honkytonkcentral.com/",37201,"Davidson","Nashville",36.1608682495855,-86.7768349547931
"107","Hopsmith Tavern","","2. No","","4. Information unavailable","1. 1-4 Events per month","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","2. Not too likely",NA,"2. Not too likely",0,0,0,"
Hopsmith Nashville is a restaurant & bar located in Nashville’s midtown neighborhood.","","info@hopsmithnashville.com","                                   (615) 846-5990
","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1903 DIVISION ST","09216026100","https://www.hopsmithnashville.com/",37203,"Davidson","Nashville",36.1500213821433,-86.7959954755933
"108","Huba Huba Tiki Tonk","","3. Information unavailable","","4. Information unavailable","1. 1-4 Events per month","","","3. Somewhat likely","2. Not too likely","2. Not too likely","3. Somewhat likely",NA,"2. Not too likely",0,0,0,"Hubbly Bubbly Tiki Tonk is a bar in Nashville, Tennessee that offers a unique tiki bar experience. It is a casual spot for locals and tourists alike to enjoy tropical drinks, good food, and a lively atmosphere.","","info@hubbahubbatikitonk.com","","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"922 MAIN ST","08212031200","https://www.hubbahubbatikitonk.com/",37206,"Davidson","Nashville",36.1763878243587,-86.7551932002404
"109","Inglewood Lounge","Adrianna Flax","3. Information unavailable","","4. Information unavailable","1. 1-4 Events per month","","","2. Not too likely","1.Not At All Likely","1.Not At All Likely","3. Somewhat likely",NA,"2. Not too likely",0,0,0,"It is a bar and lounge located in downtown Nashville, Tennessee. It offers a range of services, including drinks, snacks. The lounge also hosts live music performances and special events.","","holler@actualfoodnashville.com","(615) 490-6139","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"3914 GALLATIN PIKE","06115023500","http://inglewoodlounge.com",37216,"Davidson","Nashville",36.2168910781425,-86.728400882218
"110","Island Vibes","","1. Yes","","4. Information unavailable","2. 5-10 Events per month","","4. Mixed/all of the above","1.Not At All Likely","1.Not At All Likely","2. Not too likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"The best  Caribbean Restaurant and Lounge in Nashville, serving 
the most authentic Caribbean cuisine with great entertainment and music 
from Reggae, R&B, Soca and Hip-Hop. Join us every Friday for Old 
School R&B nights and Saturday for Island Vibes Saturdays!","","","","","","Carribean",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1316 ANTIOCH PIKE","13415000500","https://islandvibes615.com/",NA,"Davidson","Nashville",36.0851243163491,-86.6896752814547
"111","James K Polk Theater-TPAC","Adrianna Flax","2. No","1,075","4. Information unavailable","3. 11-20 Events per month","4. 20+ Years","1. Ticket sales","4. Very Likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"3. Somewhat likely",0,0,0,"A large, proscenium theatre with a pit seating in the TN Performing Arts Center","","","(615) 782-4040","","","No Genre Specifed",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"301 REP JOHN LEWIS WAY N","09302300700","https://www.tpac.org/rentals/james-k-polk-theater/",37243,"Davidson","Nashville",36.1646166767854,-86.7819039446746
"112","Jane's Hideaway","","3. Information unavailable","","4. Information unavailable","3. 11-20 Events per month","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","3. Somewhat likely",NA,"1.Not At All Likely",0,0,0,"Upbeat, brick-lined spot serving brunch, Southern comfort food & craft cocktails, plus nightly sets.","John Peet","john@janeshideaway.com","(615) 942-7809","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"403 GALLATIN AVE","08309000800","https://www.janeshideaway.com/",37206,"Davidson","Nashville",36.1808649105029,-86.7492527754111
"113","Jason Aldean's Kitchen + Rooftop Bar","Marcus Dowling","3. Information unavailable","400","4. Information unavailable","4. 20+ Events per month","1. 0-3 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"Vast Southern eatery & saloon on 4 levels with live music, TV sports, a gift shop & a rooftop bar.","","jaguestservice@tcrestgroup.com","","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"309 BROADWAY","09306402500","https://jasonaldeansnashville.com/",37201,"Davidson","Nashville",36.1611379111119,-86.7761543833149
"114","Jefferson Street Jazz Street Festival","Eric Holt","2. No","","4. Information unavailable","","4. 20+ Years","1. Ticket sales","4. Very Likely","4. Very Likely","4. Very Likely","3. Somewhat likely",NA,"4. Very Likely",0,0,0,"The Jefferson Street Jazz & Blues Festival is an annual music festival that takes place in Nashville, Tennessee, in the United States. The festival celebrates the rich musical history of Jefferson Street, which was once a thriving hub for African American music in the city.","","jumpnow@bellsouth.net","(615) 726-5867","","","Jazz",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"1215 9TH AVE N","08116021300","https://www.nashvillejazzandbluesfest.com/contactus/",37208,"Davidson","Nashville",36.1744637829759,-86.7938770460565
"115","Jimmy Buffett's Margaritaville","Marcus Dowling","2. No","805","4. Information unavailable","3. 11-20 Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","2. Not too likely",NA,"1.Not At All Likely",0,0,0,"A casual theme bar with daily live music & a menu of Caribbean & seafood fare","","","(615) 208-9080","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"322 BROADWAY","09306400100","https://www.margaritavillenashville.com/",37201,"Davidson","Nashville",36.1613821029264,-86.7771977745405
"116","Joe's Place","","3. Information unavailable","200","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Local spot in Green Hills with good beer and great people","","joesplacegm@gmail.com","(615) 383-9115","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2227 BANDYWOOD DR","11714012300","No website available",37215,"Davidson","Nashville",36.1046855345253,-86.8191156499444
"117","John A's Restaurant","","3. Information unavailable","300","4. Information unavailable","4. 20+ Events per month","","","1.Not At All Likely","2. Not too likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Kitschy spot with colorful walls & photos of Nashville celebs features down-home fare & drinks.","","","(615) 885-1540","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"2425 MUSIC VALLEY DR","06200015400","https://www.johnasnashville.com/",37214,"Davidson","Nashville",36.2188435381866,-86.6938563109761
"118","Johnny Cash's Kitchen & Saloon","","2. No","400","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","3. Somewhat likely","3. Somewhat likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"The traditional Southern Meat and Three restaurant","","","(615) 209-9504","","","No Genre Specifed",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"121 3RD AVE S","09306403100","https://www.cashbarandbbq.com/",37201,"Davidson","Nashville",36.1607275130203,-86.7757304029603
"119","Kid Rock's Big Honky Tonk Rock N' Roll Steakhouse","","2. No","2000","4. Information unavailable","4. 20+ Events per month","2. 3-10 Years","4. Mixed/all of the above","1.Not At All Likely","2. Not too likely","2. Not too likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Grilled meats, burgers & cocktails in a buzzing, cavernous hub with live music & a rooftop bar.
","Laura Sumpter","lsumpter@kidrockbar.net","(615) 248-2706","","","Country",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"221 BROADWAY","09306404100","https://www.kidrockshonkytonkandsteakhouse.com/",37201,"Davidson","Nashville",36.1613459285107,-86.7756650800544
"120","Kittenish","Marcus Dowling","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Kittenish is a clothing store founded in 2014 by platinum singer-songwriter, television personality and best-selling author, Jessie James Decker.","Cara Harris","","(615) 764-9630","304 11th Ave S.
Nashville, TN 37203","11th Ave S","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"320 11TH AVE S","093130B90000CO","https://kittenish.com/",37203,"Davidson","Nashville",36.1534197356406,-86.783131034937
"121","Kittenish","Marcus Dowling","3. Information unavailable","","4. Information unavailable","","","","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely","1.Not At All Likely",NA,"1.Not At All Likely",0,0,0,"Kittenish is a clothing store founded in 2014 by platinum singer-songwriter, television personality and best-selling author, Jessie James Decker.","Cara Harris","","(615) 764-9630","304 11th Ave S.
Nashville, TN 37203","11th Ave S","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"320 11TH AVE S","093130B90000CO","https://kittenish.com/",37203,"Davidson","Nashville",36.1533202534805,-86.7832350841648
